Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2022-01-25 20:13:38 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 38442 levelup,0x80d14d0d99b3a0a1be4729d3c8adaee03b0ee8d291367fe5e71ed66bedb99355,
2022-01-25 20:16:56 UTC,2,Shvas Rune,,,0.003718203681147294151051935218,USD,0.1757754075150446959607819508,usd,cost,NFT 39249 meditate,0xe55e1eefbeadcce4fb4bac53f82db23f90d60a5678d0ee17012f8bb1cb73f0e8,
2022-01-25 20:16:56 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 39249 levelup,0xe55e1eefbeadcce4fb4bac53f82db23f90d60a5678d0ee17012f8bb1cb73f0e8,
2022-01-25 20:19:05 UTC,2,Shvas Rune,,,0.003598261626916736275211550211,USD,0.1757754075150446959607819508,usd,cost,NFT 40885 meditate,0x7e06a459f087cfa4e1c5633508511effad6ba0814600c7d4ebc827687fc43094,
2022-01-25 20:19:05 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 40885 levelup,0x7e06a459f087cfa4e1c5633508511effad6ba0814600c7d4ebc827687fc43094,
2022-01-25 20:23:48 UTC,2,Shvas Rune,,,0.003598261626916736275211550211,USD,0.1757754075150446959607819508,usd,cost,NFT 51335 meditate,0x86f45001d16625848c589ec6b4c04803f202bdb4c4b9d04907629a7cf2bb7259,
2022-01-25 20:23:48 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 51335 levelup,0x86f45001d16625848c589ec6b4c04803f202bdb4c4b9d04907629a7cf2bb7259,
2022-01-25 20:30:58 UTC,2,Shvas Rune,,,0.003718203681147294151051935218,USD,0.1757754075150446959607819508,usd,cost,NFT 30532 meditate,0xc9d8ff9e0e3e9c41f57f5fc4ac1aa85701d9a0ef2ac376a6fd77ea13b2880ac7,
2022-01-25 20:30:58 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 30532 levelup,0xc9d8ff9e0e3e9c41f57f5fc4ac1aa85701d9a0ef2ac376a6fd77ea13b2880ac7,
2022-01-25 20:37:19 UTC,2,Shvas Rune,,,0.003598261626916736275211550211,USD,0.1757754075150446959607819508,usd,cost,NFT 24170 meditate,0x3384b741845f666ac70bcc63320853fff7f284db38bf090ca26f9efb80439553,
2022-01-25 20:37:19 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 24170 levelup,0x3384b741845f666ac70bcc63320853fff7f284db38bf090ca26f9efb80439553,
2022-01-25 20:43:35 UTC,2,Shvas Rune,,,0.003598261626916736275211550211,USD,0.1757754075150446959607819508,usd,cost,NFT 36323 meditate,0xd6d909d85bc46ed71f8abb0a754575184e786aedaa1085d1b9e6617bae027791,
2022-01-25 20:43:35 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 36323 levelup,0xd6d909d85bc46ed71f8abb0a754575184e786aedaa1085d1b9e6617bae027791,
2022-01-25 21:48:22 UTC,2,Shvas Rune,,,0.003718132600184857866428528306,USD,0.1757754075150446959607819508,usd,cost,NFT 44341 meditate,0xcdf2db8aa4995955ec79ad3adbfbefad536c1c944f7e32bd9439a899db57c4b4,
